,city,Lattitude,temp,Humidity,Cloudiness,WindSpeed
46,tezu,27.92,19.51,27,0,1.64
47,goure,13.98,16.11,21,0,3.58
48,airai,-8.93,27.23,67,27,2.3
49,chuy,-33.7,20.76,96,37,3.39
50,buraydah,26.33,1.0,47,0,1.83
51,east london,-33.02,19.0,55,36,8.7
52,cabo san lucas,22.89,16.54,82,5,4.1
53,oktyabrskiy,54.48,-12.1,95,98,2.68
54,katsuura,35.13,7.1,70,75,7.2
55,ca mau,9.18,33.73,36,5,5.42
56,jamestown,42.1,-0.47,92,90,6.2
57,nagato,34.38,8.75,93,75,7.7
58,luderitz,-26.65,16.0,63,0,4.1
59,talara,-4.58,23.09,92,68,4.52
60,upernavik,72.79,-25.82,92,98,1.43
61,new norfolk,-42.78,19.72,28,46,7.7
62,huarmey,-10.07,22.66,73,100,1.43
63,chulumani,-16.41,13.22,94,100,1.12
64,yenagoa,4.92,21.25,89,33,1.12
65,acarau,-2.89,24.17,96,100,2.13
66,san andres,12.58,24.0,78,20,1.5
67,ponta do sol,32.67,12.83,71,20,1.0
68,kapaa,22.08,22.98,78,40,2.1
69,margate,51.38,7.59,93,93,6.2
70,san cristobal,7.77,23.0,88,40,1.0
71,khatanga,71.97,-27.84,98,99,0.48
72,tasiilaq,65.61,0.0,61,100,1.5
73,paramonga,-10.67,21.01,94,100,4.36
74,adre,13.47,12.52,23,0,6.93
75,khorramabad,33.49,-1.0,74,0,2.1
76,yellowknife,62.46,-17.0,84,90,1.5
77,tsevie,6.43,19.0,88,20,2.1
78,garissa,-0.45,26.88,74,100,2.62
79,dondo,-19.61,28.0,78,20,5.1
80,anchorage,61.22,-21.93,75,1,1.5
81,grindavik,63.84,-0.52,74,40,9.3
82,ulladulla,-35.35,26.77,62,59,6.2
83,banda aceh,5.56,28.96,61,91,3.0
84,barrow,71.29,-31.0,74,40,4.1
85,usinsk,65.99,-20.72,96,100,4.17
86,huilong,31.81,6.86,92,100,7.79
87,yumen,40.28,-0.67,32,52,5.47
88,thompson,55.74,-19.0,77,90,0.92
89,butaritari,3.07,28.24,81,100,7.78
90,rio grande,-32.03,22.78,93,100,6.11
91,sidney,-33.87,28.38,74,75,5.1
92,kaitangata,-46.28,14.2,86,100,2.38
93,villarrica,-25.75,21.9,55,0,1.19
94,sehithwa,-20.47,26.84,42,35,3.55
95,tura,25.52,23.88,39,0,1.33
96,castra-nova,44.12,2.91,74,90,3.6
97,pangnirtung,66.15,-38.94,98,100,0.3
98,karaton,-6.34,31.23,70,40,5.7
99,deputatskiy,69.3,-31.04,80,100,1.02
100,yarada,17.65,28.0,65,20,3.1
101,mikhaylovka,50.06,-1.98,90,97,7.21
102,torbay,47.67,-1.09,92,75,7.6
103,rawson,-43.3,15.3,54,22,5.76
104,auki,-8.77,29.18,77,94,5.47
105,panzhihua,26.59,10.56,50,0,0.84
106,puerto ayora,-0.74,23.33,21,100,0.89
107,pringsewu,-5.36,28.26,81,73,1.11
108,caravelas,-17.71,25.93,83,100,4.19
109,chokurdakh,70.63,-33.09,96,100,1.96
110,georgetown,5.41,31.81,49,20,4.1
111,tuktoyaktuk,69.45,-28.0,75,90,3.6
112,gravdal,68.12,-1.34,54,75,6.2
113,voyvozh,62.89,-20.66,98,100,2.15
114,mar del plata,-38.0,15.28,62,0,4.6
115,irbil,36.19,1.0,49,0,0.24
116,mount gambier,-37.83,23.0,40,100,5.7
117,kondinskoye,59.65,-13.4,95,100,4.86
118,qaanaaq,77.48,-23.17,51,52,1.18
119,juneau,58.3,4.42,86,90,10.3
120,geraldton,-28.77,37.0,23,0,7.2
121,marataizes,-21.04,20.53,95,100,1.01
122,kapoeta,4.77,29.14,45,99,3.76
123,alofi,-19.06,28.0,83,100,2.6
124,castro,-24.79,17.55,91,1,1.93
125,kiama,-34.68,26.3,62,34,6.2
126,falakata,26.52,22.18,39,0,1.46
127,ajdabiya,30.76,14.8,50,0,6.91
128,belize,17.25,21.07,94,2,0.94
129,mahebourg,-20.41,25.83,78,75,5.1
130,kodiak,57.79,-9.0,66,90,4.6
131,lebyazhye,55.27,-14.38,93,85,4.55
132,gao,16.64,18.78,9,90,4.35
133,provideniya,64.38,-21.0,70,0,2.0
134,agvali,42.54,-7.0,76,40,2.87
135,saskylakh,71.92,-28.21,97,96,2.35
136,ilo,-17.64,22.76,88,83,1.35
137,nikolskoye,59.7,-4.34,79,99,2.0
138,sisimiut,66.94,-18.86,91,98,2.41
139,bethel,41.37,1.53,69,1,2.6
140,matara,5.95,29.87,59,100,2.05
141,alamosa,37.47,-8.93,73,1,0.64
142,bokoro,12.38,14.62,18,0,3.82
143,port elizabeth,-33.92,19.0,59,36,7.7
144,tiksi,71.69,-34.14,53,1,0.5
145,erdenet,49.03,-9.64,74,100,1.3
146,atessa,42.07,5.0,100,90,1.0
147,swan hill,-35.34,34.44,16,83,4.02
148,fare,-16.7,28.7,74,9,3.99
149,maningrida,-12.07,29.62,81,100,9.54
150,petrykiv,49.53,0.91,85,78,1.68
151,russell,32.35,8.93,81,90,1.46
152,guerrero negro,27.98,14.44,86,10,5.69
153,faya,18.39,5.92,51,0,1.43
154,enugu,6.44,19.0,55,30,2.6
155,lavrentiya,65.58,-26.27,83,0,0.21
156,moose factory,51.26,-7.0,92,90,5.7
157,wenceslau braz,-23.87,20.56,80,0,0.45
158,ayan,56.45,-13.8,71,94,1.26
159,paso de carrasco,-34.86,22.12,83,40,2.6
160,buin,-33.73,21.94,49,0,2.1
161,kaseda,31.42,17.24,82,75,7.7
162,zapolyarnyy,69.42,-12.0,78,97,6.2
163,iqaluit,63.75,-28.95,75,90,1.5
164,dosso,13.05,17.22,14,16,4.61
165,te anau,-45.42,16.15,90,91,1.91
166,santa cruz,-17.8,25.0,94,56,2.6
167,hasaki,35.73,7.32,61,75,3.6
168,esil,51.96,-12.82,93,35,3.54
169,broome,42.25,-0.09,92,90,4.6
170,dali,25.7,11.62,29,0,3.32
171,cap malheureux,-19.98,26.08,78,75,5.1
172,hithadhoo,-0.6,27.9,80,79,5.19
173,tchaourou,8.89,16.55,16,0,1.08
174,faanui,-16.48,28.6,74,39,4.53
175,nome,64.5,-24.0,69,1,3.05
176,miraflores,19.22,16.13,45,75,2.6
177,inirida,3.87,24.65,77,99,0.58
178,armidale,-30.52,23.74,73,75,1.56
179,norman wells,65.28,-24.0,69,75,6.2
180,vanavara,60.34,-14.21,94,89,2.39
181,ahipara,-35.17,25.0,79,43,3.36
182,port hardy,50.7,5.0,93,90,2.1
183,alice springs,-23.7,39.0,10,17,5.1
184,amsterdam,52.37,8.19,93,75,6.2
185,garden city,42.33,0.82,80,90,4.6
186,kruisfontein,-34.0,15.99,68,29,4.76
187,dikson,73.51,-21.47,94,100,2.9
188,aklavik,68.22,-28.0,68,90,3.6
189,isangel,-19.55,28.0,74,83,4.1
190,bengkulu,-3.8,29.82,67,75,2.41
191,harper,4.38,24.85,93,63,1.15
192,mahibadhoo,3.78,27.22,77,93,4.77
193,chicama,-7.84,22.0,88,75,3.1
194,ostrovnoy,68.05,-11.19,95,77,8.06
195,ribeira grande,38.52,15.35,93,100,11.22
196,shu,43.6,2.22,85,100,2.24
197,bilma,18.69,14.08,15,32,3.18
198,jhang,33.67,14.21,50,100,1.5
199,carnarvon,-24.87,29.0,70,0,7.7
200,tsuyama,35.05,7.73,100,75,7.7
201,fevik,58.38,6.57,100,90,6.2
202,orkney,-26.98,18.76,40,0,3.58
203,klaksvik,62.23,2.0,93,94,19.17
204,bambous virieux,-20.34,25.87,78,75,5.1
205,roald,62.58,3.6,86,40,7.2
206,portland,45.52,7.36,93,75,1.5
207,honiara,-9.43,32.0,70,20,6.2
208,cayenne,4.93,23.0,100,99,1.0
209,merida,20.97,21.68,88,5,3.1
210,mehamn,71.04,-5.0,67,75,3.1
211,ucluelet,48.93,5.84,92,97,1.52
212,avarua,-21.21,26.0,83,100,4.6
213,atbasar,51.8,-8.33,94,93,3.77
214,taoudenni,22.68,20.03,25,85,3.48
215,kismayo,-0.36,28.08,80,100,5.03
216,saint-joseph,-21.37,26.63,54,20,4.1
217,king city,36.21,7.91,81,90,1.5
218,longyearbyen,78.22,-17.0,84,51,1.0
219,khilchipur,24.03,26.51,25,16,5.11
220,vazante,-17.99,19.73,94,97,0.78
221,horsham,51.06,7.84,93,40,3.6
222,trelew,-43.25,11.88,45,41,4.33
223,havelock,34.88,5.01,86,1,3.1
224,pacific grove,36.62,8.92,81,75,1.5
225,sompeta,18.93,27.52,31,0,2.95
226,sayansk,54.11,-7.85,92,95,2.13
227,apt,43.88,2.81,100,1,1.69
228,razole,16.48,29.5,54,11,2.16
229,mopti,14.67,20.0,24,68,3.1
230,okha,53.57,-19.94,82,0,7.0
231,dingle,11.0,29.57,69,27,2.38
232,adrar,20.5,17.87,28,17,4.57
233,shingu,33.73,12.0,76,75,3.1
234,southbridge,42.08,1.84,74,90,3.1
235,ust-uda,54.17,-10.39,90,76,1.3
236,shimoda,34.67,6.86,70,75,10.3
237,salta,-24.79,19.06,93,75,3.1
238,sao joao da barra,-21.64,23.78,84,100,0.83
239,soc trang,9.6,30.0,62,40,4.1
240,san nicolas,18.17,26.0,74,20,4.1
241,sung noen,14.9,33.84,49,20,4.1
242,san francisco de becerra,14.63,15.98,90,0,0.67
243,trairi,-3.28,23.36,97,93,1.57
244,sozimskiy,59.74,-20.3,97,83,1.17
245,salalah,17.02,17.0,23,0,10.3
246,road town,18.42,23.78,83,90,4.1
247,severo-kurilsk,50.68,-6.92,91,86,4.48
248,imbituba,-28.24,24.0,94,40,4.1
249,alyangula,-13.85,35.0,59,100,4.1
250,milkovo,54.72,-9.11,96,100,0.43
251,pundaguitan,6.37,28.28,72,4,0.5
252,thunder bay,48.4,-5.13,85,90,3.6
253,los llanos de aridane,28.66,16.11,63,90,2.6
254,tazovskiy,67.47,-20.79,97,85,3.8
255,mitsamiouli,-11.38,30.0,58,20,1.04
256,irece,-11.3,19.25,95,100,2.49
257,la ronge,55.1,-7.0,92,90,2.6
258,pemba,-12.97,25.0,94,75,3.1
259,bubaque,11.28,25.37,48,84,6.19
260,bauta,22.98,15.0,100,20,1.5
261,gayeri,12.65,17.24,12,20,3.98
262,mizan teferi,6.98,24.92,48,97,0.05
263,san vicente de canete,-13.08,21.19,93,100,1.92
264,keti bandar,24.14,22.82,58,27,5.36
265,ola,59.58,-12.48,82,38,4.59
266,whitefish,48.41,0.84,98,90,2.1
267,fairview,40.81,1.41,69,1,3.05
268,honningsvag,70.98,-5.0,67,75,3.1
269,oktyabrskoye,43.06,-3.12,100,40,2.0
270,jaciara,-15.97,21.8,92,85,0.56
271,bandarbeyla,9.49,26.0,77,27,11.58
272,zilupe,56.39,2.07,96,100,3.37
273,vostok,46.49,-7.99,83,0,0.96
274,nkhotakota,-12.93,24.99,78,100,1.84
275,sokoni,-6.43,26.54,94,75,1.43
276,natal,-5.79,26.0,94,75,2.1
277,tiznit,29.58,9.19,48,0,1.67
278,buala,-8.14,29.4,73,90,3.86
279,bowmore,34.94,4.35,100,1,2.32
280,husavik,66.04,-6.0,73,43,3.1
281,talnakh,69.49,-20.0,83,100,4.0
282,cervo,43.67,10.99,1,100,3.12
283,clyde river,70.47,-32.0,74,1,2.1
284,hay river,60.82,-16.0,91,75,4.1
285,isiro,2.77,21.35,37,24,1.5
286,jinchang,38.5,-3.68,38,0,1.66
287,nalut,30.33,11.82,70,83,4.82
288,makakilo city,21.35,22.82,73,1,1.82
289,melito di porto salvo,37.92,12.86,81,40,5.1
290,kalmunai,7.42,26.78,64,93,4.49
291,orebro,59.27,5.14,86,75,4.6
292,manzhouli,49.6,-12.97,82,0,1.06
293,port lincoln,-34.73,20.7,58,4,5.89
294,jackson,42.42,7.04,87,90,0.4
295,ercis,39.03,-9.0,85,20,1.5
296,chapais,49.78,-4.0,92,90,3.6
297,boguchany,58.38,-11.3,88,30,2.13
298,zhezkazgan,47.8,-5.0,92,90,13.0
299,sokolo,14.73,20.39,9,93,4.15
300,viedma,-40.81,9.78,66,0,1.04
301,batagay-alyta,67.8,-34.48,46,0,1.93
302,dashitou,43.31,-4.5,80,0,1.06
303,zhigansk,66.77,-33.85,62,0,1.36
304,laredo,27.51,15.53,62,1,3.15
305,hualmay,-11.1,21.56,84,100,1.82
306,goderich,43.75,0.11,90,98,0.89
307,nizhnevartovsk,60.93,-9.0,85,100,7.0
308,hirado,33.36,10.42,93,75,10.3
309,bilibino,68.05,-23.17,93,41,1.28
310,okhotsk,59.38,-22.56,77,97,3.67
311,odweyne,9.41,22.95,57,61,6.66
312,lexington-fayette,38.05,3.86,86,90,2.6
313,samarinda,-0.5,33.01,56,82,1.59
314,mulchen,-37.72,12.58,65,3,1.49
315,kopayhorod,48.86,-5.0,91,67,2.91
316,brae,60.4,4.88,67,33,7.7
317,fortuna,40.6,9.49,90,98,2.24
318,saldanha,-33.01,14.0,82,53,3.1
319,maniitsoq,65.42,-11.47,81,100,2.44
320,leshukonskoye,64.9,-19.49,95,99,2.77
321,nelson bay,-32.72,28.32,66,82,5.7
322,san quintin,30.48,13.14,90,23,5.54
323,sao filipe,14.9,22.87,63,0,6.73
324,chapada dos guimaraes,-15.46,28.0,74,40,1.5
325,laguna,38.42,9.56,87,1,2.1
326,changli,39.7,6.11,57,100,1.81
327,alice,27.75,12.97,93,90,2.54
328,anadyr,64.75,-10.0,85,40,3.0
329,mantua,45.17,1.3,91,40,0.5
330,la rioja,42.25,2.04,97,100,1.56
331,mezen,65.85,-22.28,98,75,0.93
332,kushiro,42.98,-2.0,58,75,3.6
333,snyder,32.72,8.59,66,1,2.6
334,ambilobe,-13.2,27.27,79,100,1.49
335,windhoek,-22.56,22.4,17,36,5.7
336,mazatlan,23.22,19.76,88,5,5.11
337,wangqing,43.32,-0.13,50,13,0.74
338,ulaanbaatar,47.91,-12.0,55,0,1.0
339,soyo,-6.13,27.0,88,75,1.4
340,namibe,-15.2,23.48,74,89,2.2
341,minot,48.23,-6.85,92,90,1.5
342,hambantota,6.12,29.0,70,100,6.7
343,guanare,9.04,24.34,64,12,1.63
344,champerico,14.3,23.24,80,2,1.91
345,minsk,53.9,0.0,88,75,1.0
346,fulton,33.77,6.61,70,90,1.0
347,huancayo,-12.07,3.22,89,100,0.67
348,lata,40.16,12.09,87,40,5.1
349,olafsvik,64.89,0.0,69,33,7.67
350,yeniseysk,58.45,-11.27,87,95,3.17
351,linda,39.13,8.9,93,1,2.59
352,nanortalik,60.14,-5.31,75,100,10.17
353,coquimbo,-29.95,18.0,88,90,4.6
354,bandar-e lengeh,26.56,16.0,51,0,3.1
355,cedar city,37.68,5.28,70,90,4.1
356,guarapari,-20.67,22.89,94,75,1.0
357,venice,27.1,13.14,62,75,3.1
358,arman,59.7,-11.78,82,100,4.83
359,wahiawa,21.5,22.81,73,1,1.82
360,blackwater,-23.58,24.0,87,100,3.79
361,synya,65.37,-20.73,97,100,2.12
362,nuuk,64.18,-11.0,72,100,4.6
363,kamen-rybolov,44.75,-6.61,82,0,1.48
364,enshi,30.3,3.73,71,91,1.53
365,asilah,35.47,6.46,93,0,2.1
366,cherskiy,68.75,-30.66,89,86,0.46
367,labuhan,-6.88,31.18,63,51,4.24
368,san patricio,19.22,24.09,77,0,4.4
369,verkhoyansk,67.54,-42.92,86,0,0.6
370,cururupu,-1.83,23.64,98,100,0.98
371,waingapu,-9.66,29.58,70,90,2.03
372,lompoc,34.64,11.78,87,1,3.6
373,ndele,8.41,20.1,17,65,4.27
374,hulan,45.98,-6.0,57,0,2.0
375,camacha,33.08,15.0,77,20,2.1
376,soligalich,59.08,-13.24,93,75,4.02
377,sur,22.57,19.56,48,2,7.53
378,aberdeen,57.14,2.11,80,20,8.7
379,parkes,-33.13,30.72,40,69,3.53
380,gushikawa,26.35,21.16,68,75,7.2
381,coahuayana,18.73,19.86,84,23,2.13
382,westport,41.14,2.05,69,20,4.1
383,walvis bay,-22.96,15.82,93,90,3.6
384,hovd,48.01,-8.75,58,22,0.88
385,yar-sale,66.83,-22.91,99,95,2.16
386,landsberg,52.74,0.56,85,100,0.89
387,paamiut,61.99,-7.39,72,100,9.99
388,lewisporte,49.25,-3.03,86,90,3.6
389,hanna,51.63,-4.0,95,100,1.34
390,vao,-22.67,25.71,82,100,7.31
391,bridgetown,13.1,26.0,74,40,3.6
392,meadow lake,34.8,2.41,59,1,0.64
393,vaitape,-16.52,28.6,74,39,4.53
394,souillac,-20.52,25.82,78,75,5.1
395,miramar,25.99,14.07,71,1,2.1
396,rudbar,30.15,9.94,50,0,5.4
397,north platte,41.12,-2.24,79,1,3.51
398,pathein,16.78,24.65,52,16,6.32
399,panguna,-6.32,24.96,90,95,1.6
400,mahbubabad,17.62,29.55,35,0,3.0
401,kisesa,-3.08,21.01,78,95,2.26
402,fairbanks,64.84,-29.14,68,90,2.09
403,codrington,-38.27,16.09,75,100,5.56
404,najran,17.49,8.0,52,0,1.0
405,pangody,65.85,-22.42,98,78,3.36
406,burgeo,47.62,1.81,97,100,11.96
407,ginir,7.13,16.86,88,99,2.18
408,arlit,18.74,17.03,10,94,2.79
409,vila franca do campo,37.72,17.0,88,20,6.2
410,nemuro,43.32,-4.0,62,40,6.7
411,pochutla,15.74,23.0,78,5,5.7
412,port-gentil,-0.72,27.0,94,40,0.5
413,saint pete beach,27.73,13.34,71,1,1.7
414,tessalit,20.2,18.65,11,100,2.44
415,ilulissat,69.22,-18.0,64,63,2.6
416,richards bay,-28.78,22.68,83,100,15.5
417,college,64.86,-28.81,68,90,1.57
418,carauari,-4.88,24.64,78,64,0.44
419,kahama,-3.83,18.08,95,100,2.14
420,ketchikan,55.34,5.48,86,90,8.2
421,sambava,-14.27,27.42,70,85,1.04
422,anton lizardo,19.05,21.8,94,5,2.51
423,konosha,60.97,-14.22,94,99,3.44
424,yerbogachen,61.28,-15.34,89,80,4.98
425,bathsheba,13.22,26.0,74,40,3.6
426,san carlos de bariloche,-41.15,14.0,50,47,5.7
427,coihaique,-45.58,11.0,62,94,0.5
428,belaya gora,68.53,-35.74,93,82,1.11
429,jinka,5.65,23.02,74,100,1.24
430,lagoa,39.05,16.5,91,100,10.47
431,selma,36.57,10.23,100,4,3.26
432,nevelsk,46.67,-7.0,28,0,1.0
433,tondano,1.3,32.0,66,40,4.1
434,almaznyy,48.04,-3.0,86,0,1.0
435,korla,41.76,-2.22,96,84,0.89
436,vestmannaeyjar,63.44,3.2,74,73,5.25
437,port macquarie,-31.43,29.39,52,0,8.2
438,upington,-28.45,17.0,42,0,2.1
439,saint anthony,45.02,-4.22,79,90,3.1
440,talavera de la reina,39.96,5.6,92,80,0.9
441,ramanuj ganj,23.8,22.37,29,0,3.0
442,sola,-13.88,28.59,75,72,5.83
443,roebourne,-20.78,43.71,9,0,2.83
444,esperance,-33.87,31.0,45,0,8.2
445,kushima,31.46,16.88,100,75,12.3
446,lingao,19.91,15.25,84,100,6.89
447,samarkand,39.65,1.0,80,39,3.1
448,alta floresta,-9.88,22.32,96,100,1.11
449,pacanga,-7.17,23.0,88,20,5.1
450,muyezerskiy,63.93,-15.46,96,91,0.9
451,ferrol,43.48,10.39,81,20,2.1
452,leningradskiy,69.38,-21.97,93,100,5.64
453,dickinson,29.46,13.59,87,1,2.48
454,vorobyevka,50.65,-1.28,89,93,6.85
455,candolim,15.52,28.0,78,20,2.6
456,bazarnyye mataki,54.88,-5.27,95,100,4.67
457,pavlodar,52.3,-3.0,86,100,12.0
458,bonthe,7.53,22.37,87,84,2.27
459,dunedin,-45.87,15.31,84,64,4.22
460,cap-aux-meules,47.38,0.88,99,100,8.38
461,sorland,67.67,-1.0,54,75,6.2
462,shelburne,44.08,0.04,86,90,6.2
463,nabire,-3.37,29.77,71,79,2.12
464,anshun,26.25,3.62,86,99,2.5
465,ornskoldsvik,63.29,-2.67,92,90,4.6
466,kaupanger,61.18,4.0,96,40,11.3
467,ashland,40.82,0.4,86,90,4.1
468,salamanca,40.83,4.51,86,20,6.2
469,pisco,-13.7,22.6,83,59,1.5
470,rocha,-34.48,18.5,98,39,2.89
471,nayoro,44.35,-6.2,82,84,1.98
472,hudson bay,52.85,-11.9,99,99,0.78
473,padang,-0.95,26.22,82,81,1.53
474,kaniama,-7.57,21.0,95,100,1.61
475,dukat,62.55,-20.29,99,100,1.3
476,komsomolskiy,40.43,3.3,65,40,1.0
477,maracaju,-21.61,22.13,69,48,2.15
478,groton,41.35,2.97,69,75,5.1
479,port hedland,-20.32,38.0,31,1,6.7
480,sept-iles,50.2,-1.84,92,90,3.1
481,kambove,-10.88,17.33,99,100,1.65
482,tocopilla,-22.09,18.13,60,71,0.23
483,qiyang,26.59,4.76,71,76,2.53
484,kununurra,-15.77,38.0,39,20,2.1
485,banki,20.38,24.0,41,28,2.6
486,biu,10.61,15.71,31,0,2.77
487,evensk,61.95,-7.98,94,86,5.2
488,petropavlovka,50.61,-10.37,77,100,0.92
489,sar-e pul,35.83,0.26,48,0,1.62
490,cozumel,20.51,21.69,94,5,2.92
491,kadoma,34.73,9.29,87,75,13.9
492,acapulco,16.86,26.0,78,5,2.6
493,hjelset,62.78,4.68,60,75,8.2
494,taltal,-25.4,18.1,91,26,2.51
495,aden,12.78,27.19,58,3,5.92
496,governador valadares,-18.85,22.17,98,100,2.61
497,hit,33.64,9.11,69,0,4.01
498,sirjan,29.45,3.49,44,0,3.62
499,auburn,47.31,7.6,81,90,6.2
500,tankhoy,51.55,-5.0,90,96,1.66
501,general roca,-39.03,21.0,37,2,2.1
502,praia da vitoria,38.73,17.0,93,90,11.51
503,villanueva de cordoba,38.32,6.0,100,90,1.0
504,mangan,27.52,8.44,46,36,2.89
505,ixtapa,20.7,21.4,94,5,1.4
506,ryotsu,38.08,6.0,60,75,7.2
507,suicheng,33.9,5.29,71,93,3.49
508,turukhansk,65.82,-14.52,92,100,4.0
509,seara,41.18,10.85,8,99,4.47
510,karratha,-20.74,30.29,71,0,7.75
511,pemagatsel,27.03,13.13,48,8,2.68
512,tulagi,-9.1,32.0,70,20,6.2
513,lazurne,46.08,-3.95,100,90,1.0
514,great malvern,52.11,5.04,93,90,4.6
515,nantucket,41.28,2.19,86,1,4.1
516,pandegelang,-6.31,31.22,70,40,5.7
517,lac du bonnet,50.25,-9.44,96,100,1.92
518,mauguio,43.62,2.98,100,20,1.5
519,kaputa,-8.47,18.58,96,100,0.66
520,mchinji,-13.8,21.37,87,95,1.62
521,severnoye,56.35,-4.8,88,100,8.8
522,taksimo,56.34,-15.56,91,68,1.13
523,kalaleh,37.38,6.0,70,20,1.37
524,kasangulu,-4.59,25.0,94,75,0.78
525,meulaboh,4.14,28.6,76,67,1.49
526,innisfail,-17.53,26.52,86,100,0.65
527,srednekolymsk,67.45,-31.46,95,93,0.96
528,zhaoqing,23.05,12.22,63,43,1.61
529,port-cartier,50.03,-1.85,92,90,4.1
530,kigoma,-4.88,22.0,94,90,3.32
531,florence,43.77,6.18,100,75,0.5
532,cockburn town,21.46,24.0,75,0,4.01
533,dauphin,51.15,-9.0,92,90,1.0
534,havoysund,71.0,-6.49,67,75,3.1
535,muros,42.78,10.72,100,75,3.6
536,khasan,42.43,-1.35,61,64,1.36
537,sioux lookout,50.1,-10.0,92,90,1.0
538,samarai,-10.62,31.17,59,45,5.09
539,orange,33.7,11.24,76,20,1.5
540,coudekerque-branche,51.02,7.94,93,75,3.6
541,basco,20.45,23.3,85,81,8.52
542,belmonte,-15.86,25.0,94,90,2.1
543,naziya,59.8,-4.46,79,96,2.0
544,rochester,43.15,0.9,86,90,5.1
545,letka,59.6,-16.52,97,100,1.38
546,hamilton,39.18,-0.65,92,1,1.24
547,beloha,-25.17,31.41,42,0,3.91
548,warmbad,-28.45,14.78,43,0,3.9
549,bayangol,50.7,-9.12,61,96,0.06
550,constitucion,-35.33,19.31,47,5,2.88
551,silver city,32.77,2.79,74,90,4.6
552,adolfo lopez mateos,28.47,4.43,83,0,1.79
553,saint-francois,46.42,3.03,75,96,3.1
554,kargasok,59.06,-8.77,92,100,8.33
555,nouakchott,18.09,20.0,32,0,5.1
556,narsaq,60.92,-11.0,61,96,2.6
557,visnes,59.36,5.92,93,75,3.6
558,ellenabad,29.45,19.03,46,86,3.54
559,yanam,16.73,28.0,65,20,4.1
560,yeppoon,-23.13,32.0,43,97,5.1
